category,full_category,salary_in_usd
Engineer,Data Engineer,243900
Engineer,Data Engineer,156600
Analyst,Data Analyst,136600
Analyst,Data Analyst,109280
Engineer,Data Engineer,128875
Engineer,Data Engineer,93700
Scientist,Data Scientist,224000
Scientist,Data Scientist,167875
Analyst,Data Analyst,175000
Analyst,Data Analyst,135000
Engineer,Data Engineer,209100
Engineer,Data Engineer,154600
Engineer,Data Engineer,180000
Engineer,Data Engineer,160000
Scientist,Data Scientist,205300
Scientist,Data Scientist,140400
Scientist,Data Scientist,176000
Scientist,Data Scientist,144000
Engineer,Data Engineer,200100
Engineer,Data Engineer,160000
Engineer,Data Engineer,70500
Engineer,Data Engineer,54000
Scientist,Data Scientist,205300
Scientist,Data Scientist,140400
Analyst,Data Analyst,205300
Analyst,Data Analyst,184700
Engineer,Data Engineer,175100
Engineer,Data Engineer,140250
Analyst,Data Analyst,116150
Analyst,Data Analyst,99050
Engineer,Data Engineer,145000
Engineer,Data Engineer,130000
Analyst,Data Analyst,112900
Analyst,Data Analyst,90320
Analyst,Data Analyst,85000
Analyst,Data Analyst,75000
Engineer,Machine Learning Data Engineer,214000
Engineer,Machine Learning Data Engineer,192600
Architect,Data Architect,266400
Architect,Data Architect,213120
Engineer,Data Engineer,155000
Engineer,Data Engineer,115000
Scientist,Data Scientist,141300
Scientist,Data Scientist,102100
Analyst,Data Analyst,115934
Analyst,Data Analyst,81666
Engineer,Data Engineer,206699
Engineer,Data Engineer,99100
Engineer,Data Engineer,130000
Engineer,Data Engineer,110500
Analyst,Data Analyst,61566
Analyst,Data Analyst,43096
Analyst,Data Analyst,80000
Analyst,Data Analyst,60000
Architect,Data Architect,192564
Architect,Data Architect,144854
Scientist,Data Scientist,230000
Scientist,Data Scientist,150000
Analyst,Data Analyst,150260
Analyst,Data Analyst,109280
Analyst,Data Analyst,170000
Analyst,Data Analyst,150000
Scientist,Data Scientist,160000
Scientist,Data Scientist,130000
Analyst,Data Analyst,67000
Analyst,Data Analyst,52000
Engineer,Data Engineer,154000
Engineer,Data Engineer,126000
Analyst,Data Analyst,129000
Analyst,Data Analyst,99000
Scientist,Data Scientist,210000
Scientist,Data Scientist,140000
Scientist,Data Scientist,210000
Scientist,Data Scientist,140000
Scientist,Data Scientist,210000
Scientist,Data Scientist,140000
Analyst,Data Analyst,100000
Analyst,Data Analyst,69000
Scientist,Data Scientist,210000
Scientist,Data Scientist,140000
Analyst,Data Analyst,150075
Analyst,Data Analyst,110925
Engineer,Data Engineer,100000
Engineer,Data Engineer,25000
Analyst,Data Analyst,126500
Analyst,Data Analyst,106260
Engineer,Data Engineer,220110
Engineer,Data Engineer,160080
Analyst,Data Analyst,105000
Analyst,Data Analyst,100000
Analyst,Data Analyst,170000
Analyst,Data Analyst,135000
Scientist,Data Scientist,230000
Scientist,Data Scientist,140000
Analyst,Data Analyst,135000
Analyst,Data Analyst,50000
Scientist,Data Scientist,220000
Scientist,Data Scientist,140000
Scientist,Data Scientist,172386
Scientist,Data Scientist,86193
Engineer,Machine Learning Data Engineer,220000
Engineer,Machine Learning Data Engineer,120000
Scientist,Data Scientist,200000
Scientist,Data Scientist,120000
Engineer,Machine Learning Data Engineer,120000
Engineer,Machine Learning Data Engineer,65000
Engineer,Data Engineer,324000
Engineer,Data Engineer,216000
Engineer,Data Engineer,210000
Engineer,Data Engineer,100000
Scientist,Data Scientist,185100
Scientist,Data Scientist,104890
Engineer,Data Engineer,105000
Engineer,Data Engineer,80000
Developer,Machine Learning Data Developer,76814
Analyst,Machine Learning Data Analyst,117104
Scientist,Data Scientist,192037
Engineer,Machine Learning Data Engineer,120000
Analyst,Business Data Analyst,17805
Scientist,Data Scientist,30523
Engineer,Machine Learning Data Engineer,55685
Engineer,Data Engineer,52533
Scientist,Data Scientist,17805
Scientist,Machine Learning Data Scientist,75000
Scientist,Data Scientist,157000
Analyst,Business Data Analyst,69133
Engineer,Data Engineer,65000
Engineer,Machine Learning Data Engineer,68293
Scientist,Data Scientist,109000
Scientist,Data Scientist,67597
Analyst,Data Analyst,20000
Others,Data Others,102839
Others,Data Others,200000
Scientist,Data Scientist,51081
Scientist,Data Scientist,78000
Engineer,Data Engineer,135000
Engineer,Data Engineer,115000
Engineer,Machine Learning Data Engineer,83864
Scientist,Data Scientist,40000
Others,Data Others,31520
Engineer,Machine Learning Data Engineer,59888
Engineer,Data Engineer,54742
Architect,Data Architect,89306
Scientist,Data Scientist,83171
Scientist,Data Scientist,165000
Scientist,Machine Learning Data Scientist,153000
Scientist,Data Scientist,100000
Developer,Machine Learning Data Developer,76814
Scientist,Data Scientist,33609
Analyst,Data Analyst,75000
Analyst,Data Analyst,20000
Scientist,Machine Learning Data Scientist,30469
Architect,Data Architect,69999
Engineer,Data Engineer,55475
Architect,Data Architect,61989
Analyst,Data Analyst,152500
Architect,Data Architect,120000
Scientist,Data Scientist,135000
Analyst,Data Analyst,405000
Engineer,Data Engineer,150000
Analyst,Data Analyst,240000
Analyst,Data Analyst,135000
Scientist,Data Scientist,80000
Scientist,Data Scientist,380000
Scientist,Data Scientist,120402
Scientist,Data Scientist,177000
Engineer,Data Engineer,65141
Scientist,Data Scientist,48000
Analyst,Data Analyst,20000
Scientist,Data Scientist,220000
Engineer,Machine Learning Data Engineer,77364
Engineer,Machine Learning Data Engineer,63711
Engineer,Data Engineer,150000
Analyst,Data Analyst,90000
Scientist,Data Scientist,100000
Scientist,Data Scientist,100000
Scientist,Data Scientist,100000
Architect,Data Architect,144000
Scientist,Data Scientist,155499
Engineer,Data Engineer,24000
Scientist,Machine Learning Data Scientist,38400
Analyst,Business Data Analyst,100000
Scientist,Data Scientist,82500
Scientist,Data Scientist,49646
Scientist,Data Scientist,40570
Engineer,Data Engineer,120000
Engineer,Machine Learning Data Engineer,84053
Engineer,Machine Learning Data Engineer,20000
Engineer,Data Engineer,125000
Scientist,Machine Learning Data Scientist,120000
Scientist,Data Scientist,110037
Engineer,Machine Learning Data Engineer,21013
Analyst,Data Analyst,50000
Engineer,Data Engineer,200000
Engineer,Business Intelligence Data Engineer,60000
Engineer,Data Engineer,200000
Developer,Machine Learning Data Developer,100000
Engineer,Data Engineer,100000
Engineer,Machine Learning Data Engineer,82744
Engineer,Data Engineer,59303
Architect,Data Architect,62649
Engineer,Data Engineer,82528
Architect,Data Architect,170000
Architect,Data Architect,150000
Analyst,Business Intelligence Data Analyst,55000
Scientist,Data Scientist,250000
Engineer,Data Engineer,80000
Engineer,Business Intelligence Data Engineer,70000
Scientist,Data Scientist,130026
Scientist,Data Scientist,63831
Scientist,Data Scientist,68428
Scientist,Data Scientist,85000
Others,Data Others,230000
Engineer,Machine Learning Data Engineer,125000
Analyst,Data Analyst,120000
Architect,Data Architect,450000
Analyst,Data Analyst,46759
Engineer,Data Engineer,74130
Engineer,Data Engineer,127221
Analyst,Data Analyst,144000
Scientist,Data Scientist,75774
Scientist,Data Scientist,150000
Scientist,Data Scientist,103000
Engineer,Data Engineer,153000
Engineer,Data Engineer,90000
Analyst,Data Analyst,90000
Analyst,Data Analyst,60000
Scientist,Data Scientist,50000
Engineer,Machine Learning Data Engineer,270000
Scientist,Data Scientist,54238
Engineer,Machine Learning Data Engineer,47282
Scientist,Data Scientist,153667
Engineer,Data Engineer,28476
Analyst,Data Analyst,110000
Architect,Data Architect,82528
Engineer,Machine Learning Data Engineer,250000
Analyst,Data Analyst,59102
Analyst,Data Analyst,80000
Engineer,Machine Learning Data Engineer,138000
Engineer,Data Engineer,140000
Analyst,Data Analyst,79197
Analyst,Data Analyst,170000
Analyst,Data Analyst,80000
Scientist,Data Scientist,45760
Analyst,Business Intelligence Data Analyst,100000
Scientist,Data Scientist,53192
Others,Data Others,235000
Analyst,Business Intelligence Data Analyst,150000
Engineer,Data Engineer,79833
Scientist,Machine Learning Data Scientist,225000
Scientist,Data Scientist,76833
Engineer,Machine Learning Data Engineer,50180
Analyst,Data Analyst,88654
Engineer,Data Engineer,103160
Engineer,Data Engineer,113476
Engineer,Machine Learning Data Engineer,94564
Engineer,Data Engineer,30428
Engineer,Data Engineer,150000
Engineer,Data Engineer,115000
Architect,Data Architect,187442
Analyst,Data Analyst,51519
Engineer,Data Engineer,106000
Engineer,Data Engineer,112872
Analyst,Business Intelligence Data Analyst,36259
Engineer,Data Engineer,150000
Engineer,Machine Learning Data Engineer,15966
Engineer,Data Engineer,95746
Engineer,Data Engineer,70000
Scientist,Data Scientist,76958
Engineer,Cloud Data Engineer,89294
Scientist,Data Scientist,29751
Engineer,Data Engineer,276000
Engineer,Data Engineer,188000
Engineer,Cloud Data Engineer,160000
Scientist,Data Scientist,105000
Engineer,Data Engineer,200000
Engineer,Data Engineer,174000
Analyst,Data Analyst,93000
Scientist,Data Scientist,28399
Architect,Data Architect,60757
Scientist,Data Scientist,90000
Engineer,Data Engineer,70139
Engineer,Data Engineer,33511
Analyst,Data Analyst,170000
Engineer,Data Engineer,96282
Scientist,Data Scientist,36643
Engineer,Data Engineer,72212
Analyst,Data Analyst,91000
Architect,Business Intelligence Data Architect,99703
Scientist,Data Scientist,165000
Analyst,Data Analyst,80000
Scientist,Data Scientist,103691
Engineer,Data Engineer,21637
Architect,Data Architect,42000
Scientist,Data Scientist,115000
Architect,Data Architect,63810
Scientist,Machine Learning Data Scientist,260000
Scientist,Data Scientist,110000
Architect,Data Architect,180000
Analyst,Data Analyst,200000
Engineer,Business Intelligence Data Engineer,109024
Engineer,Data Engineer,200000
Engineer,Machine Learning Data Engineer,256000
Engineer,Data Engineer,110000
Scientist,Data Scientist,79833
Engineer,Data Engineer,72500
Engineer,Machine Learning Data Engineer,185000
Engineer,Data Engineer,69741
Architect,Data Architect,100000
Engineer,Data Engineer,112000
Engineer,Machine Learning Data Engineer,150000
Scientist,Data Scientist,20171
Scientist,Data Scientist,55000
Scientist,Data Scientist,58000
Scientist,Data Scientist,100000
Scientist,Data Scientist,77684
Engineer,Machine Learning Data Engineer,85000
Scientist,Data Scientist,76833
Scientist,Data Scientist,105000
Analyst,Data Analyst,72000
Engineer,Data Engineer,65013
Engineer,Data Engineer,28016
Engineer,Data Engineer,111775
Engineer,Data Engineer,93150
Engineer,Data Engineer,160000
Scientist,Data Scientist,25532
Engineer,Machine Learning Data Engineer,66265
Scientist,Data Scientist,16904
Analyst,Data Analyst,63831
Scientist,Data Scientist,190000
Scientist,Data Scientist,141846
Engineer,Business Intelligence Data Engineer,16228
Analyst,Data Analyst,71786
Scientist,Data Scientist,35735
Scientist,Data Scientist,135000
Engineer,Machine Learning Data Engineer,24823
Analyst,Data Analyst,54094
Engineer,Machine Learning Data Engineer,24342
Scientist,Data Scientist,147000
Architect,Data Architect,96113
Analyst,Data Analyst,174000
Analyst,Business Data Analyst,135000
Engineer,Machine Learning Data Engineer,21844
Engineer,Data Engineer,125000
Scientist,Data Scientist,51321
Scientist,Data Scientist,40481
Scientist,Data Scientist,69741
Analyst,Data Analyst,50000
Scientist,Data Scientist,39916
Analyst,Data Analyst,87000
Engineer,Data Engineer,26005
Scientist,Data Scientist,90734
Engineer,Business Intelligence Data Engineer,22611
Engineer,Machine Learning Data Engineer,81000
Scientist,Data Scientist,40038
Scientist,Data Scientist,90000
Scientist,Data Scientist,61467
Engineer,Machine Learning Data Engineer,195000
Scientist,Data Scientist,37825
Analyst,Data Analyst,85000
Scientist,Data Scientist,416000
Scientist,Machine Learning Data Scientist,225000
Scientist,Data Scientist,56256
Scientist,Data Scientist,33808
Scientist,Data Scientist,116914
Engineer,Machine Learning Data Engineer,46597
Engineer,Data Engineer,41689
Engineer,Business Intelligence Data Engineer,114047
Engineer,Machine Learning Data Engineer,88654
Engineer,Data Engineer,56000
Engineer,Data Engineer,28609
Scientist,Data Scientist,88654
Engineer,Data Engineer,47899
Analyst,Business Intelligence Data Analyst,98000
Engineer,Data Engineer,66022
Architect,Data Architect,56738
Engineer,Machine Learning Data Engineer,24823
Analyst,Data Analyst,120000
Engineer,Data Engineer,20000
Scientist,Data Scientist,325000
Engineer,Machine Learning Data Engineer,200000
Scientist,Data Scientist,45896
Scientist,Data Scientist,160000
Architect,Data Architect,50000
Engineer,Data Engineer,40189
Engineer,Data Engineer,165000
Scientist,Data Scientist,42197
Engineer,Data Engineer,185000
Scientist,Data Scientist,62726
Scientist,Data Scientist,90734
Scientist,Data Scientist,21669
Engineer,Data Engineer,110000
Analyst,Data Analyst,140000
Scientist,Data Scientist,120000
Scientist,Data Scientist,87738
Analyst,Business Data Analyst,61896
Engineer,Data Engineer,76833
Engineer,Machine Learning Data Engineer,74000
Analyst,Data Analyst,152000
Engineer,Business Intelligence Data Engineer,18000
Engineer,Data Engineer,60000
Scientist,Data Scientist,130000
Engineer,Data Engineer,18907
Analyst,Business Data Analyst,59102
Scientist,Data Scientist,173762
Scientist,Data Scientist,148261
Scientist,Data Scientist,38776
Scientist,Data Scientist,46809
Scientist,Data Scientist,18053
Scientist,Data Scientist,91237
Scientist,Data Scientist,62726
Scientist,Data Scientist,115000
Scientist,Data Scientist,235000
Analyst,Data Analyst,19609
Analyst,Data Analyst,75000
Analyst,Data Analyst,62000
Scientist,Data Scientist,73000
Engineer,Data Engineer,45391
Analyst,Data Analyst,190200
Scientist,Data Scientist,118000
Scientist,Data Scientist,138350
Engineer,Data Engineer,130800
Engineer,Machine Learning Data Engineer,45618
Scientist,Data Scientist,168000
Scientist,Data Scientist,119059
Scientist,Machine Learning Data Scientist,423000
Engineer,Data Engineer,28369
Others,Data Others,165000
Scientist,Data Scientist,412000
Scientist,Data Scientist,151000
Scientist,Data Scientist,105000
Analyst,Business Data Analyst,100000
Analyst,Data Analyst,94665
